AlbumId,Title,Name,nbAlbum
332,The Ultimate Relexation Album,Charles Dutoit & L'Orchestre Symphonique de Montréal,1
333,Purcell: Music for the Queen Mary,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",1
334,Weill: The Seven Deadly Sins,Kent Nagano and Orchestre de l'Opéra de Lyon,1
335,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",Julian Bream,1
337,"Szymanowski: Piano Works, Vol. 1",Martin Roscoe,1
338,Nielsen: The Six Symphonies,Göteborgs Symfoniker & Neeme Järvi,1
339,Great Recordings of the Century: Paganini's 24 Caprices,Itzhak Perlman,1
340,Liszt - 12 Études D'Execution Transcendante,Michele Campanella,1
341,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",Gerald Moore,1
342,"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3","Mela Tenenbaum, Pro Musica Prague & Richard Kapp",1
344,Schubert: The Late String Quartets & String Quintet (3 CD's),Emerson String Quartet,1
345,Monteverdi: L'Orfeo,"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",1
346,Mozart: Chamber Music,Nash Ensemble,1
347,Koyaanisqatsi (Soundtrack from the Motion Picture),Philip Glass Ensemble,1
